ticker,name,address,country,total_stocks,logo,zipcode,sector,summary,city,phone,website,employees,industry
0NJB,SNP Schneider-Neureither & Partner SE,Dossenheimer Landstrasse 100,Germany,3970088,https://logo.clearbit.com/snpgroup.com,69121,Technology,"SNP Schneider-Neureither & Partner SE provides software products and software-related consulting services worldwide. It operates through two segments, Services and Software. The Services segment offers consulting and training services, such as traditional SAP consulting and implementation, as well as hosting, cloud, and application management services. The Software segment provides CrystalBridge, a data transformation platform for the analysis, planning, and implementation of IT data transformations in an enterprise resource planning environment. This segment also licenses and sells software, as well as offers maintenance services, including software updates, upgrades and enhancements, and technical product support services. SNP Schneider-Neureither & Partner SE has a strategic partnership with Rackspace Technology Inc. The company was founded in 1994 and is headquartered in Heidelberg, Germany.",Heidelberg,49622164250,http://www.snpgroup.com,1468,SoftwareApplication
17LA,Lenta PLC,112B Savushkina Street,Russia,102132712,https://logo.clearbit.com/lentainvestor.com,197374,Consumer Cyclical,"Lenta PLC, together with its subsidiaries, develops and operates hypermarket and supermarket stores. As of December 31, 2020, it operated 254 hypermarkets and 139 supermarkets in 89 cities across Russia. The company was founded in 1993 and is headquartered in Saint Petersburg, Russia. Lenta PLC is a subsidiary of Severgroup LLC.",Saint Petersburg,78123806131,http://www.lentainvestor.com,50000,Department Stores
1COV,Covestro AG,Kaiser-Wilhelm-Allee 60,Germany,374785540,https://logo.clearbit.com/covestro.com,51373,Basic Materials,"Covestro AG develops, produces, and markets polymer materials for various industries worldwide. The company operates in three segments: Polyurethanes; Polycarbonates; and Coatings, Adhesives, Specialties (CAS). The Polyurethanes segment develops, produces, and markets chemical precursors, such as diphenylmethane diisocyanate, toluene diisocyanate, and polyether polyol, which are used primarily in the furniture, construction, and automotive industries. The Polycarbonates segment provides high-performance plastic polycarbonates in the form of granules, composite materials, and semi-finished products for use in the automotive, construction, electrical and electronic, medical technology, and lighting industries. The CAS segment offers precursors for coatings, adhesives, and sealants, as well as specialties. This segment also provides polymer materials and aqueous dispersions for use in automotive and transportation, infrastructure and construction, wood processing, and furniture applications. The company markets its products through trading houses and distributors. Covestro AG was founded in 1863 and is headquartered in Leverkusen, Germany.",Leverkusen,4921460092000,http://www.covestro.com,14539,Specialty Chemicals
3IC,Icade SA,Open Building,France,30797655,https://logo.clearbit.com/icade.fr,92130,Real Estate,"As an investor and a developer, Icade is an integrated real estate player that designs innovative real estate products and services adapted to new urban lifestyles and habits. By placing corporate social responsibility and innovation at the core of its strategy, Icade is closely involved with stakeholders and users in the citieslocal authorities and communities, companies and employees, institutions and associations As an office and healthcare property investor (portfolio value of 11.6bn as of 06/30/2020 on a proportionate consolidation basis) and as a property developer (2019 economic revenues of nearly 1bn), Icade has been able to reinvent the real estate business and foster the emergence of tomorrow's greener, smarter and more responsible cities. Icade is a significant player in the Greater Paris area and major French cities. Icade is listed on Euronext Paris as a French Listed Real Estate Investment Company (socit d'investissement immobilier cote, SIIC). Its leading shareholder is the Caisse des dpts Group.",Issy-les-Moulineaux,33141577000,http://www.icade.fr,1161,REITDiversified
4SP,SPIE SA,"10, avenue de lEntreprise",France,130758553,https://logo.clearbit.com/spie.com,95863,Industrials,"SPIE SA provides multi-technical services in the areas of energy and communications. The company operates in four segments: France; Germany and Central Europe; North-Western Europe; and Oil & Gas and Nuclear. It offers mechanical, electrical, and heating, ventilation, and air conditioning (HVAC) engineering services; information and communications technology services, including installation, upgrade and management of voice, data, and image communications systems; and consulting-engineering, facilities management, and managed/cloud services. The company is also involved in the provision of technical services for the transmission and distribution of energy and for industrial clients, as well as in the areas of electrical and security technology, HVAC technology and information and communications technology; and operation and maintenance of low-consumption buildings. In addition, it designs, builds, operates, and maintains electrical and digital utility networks; develops smart cities and regions; and provides consulting-engineering, facilities management, and managed/cloud services. Further, the company offers maintenance advice; and builds software systems that aid in inspecting and maintaining installations and networks; provides well drilling, geosciences, asset support, and knowledge development services, as well as engineering, procurement and construction (EPC) projects and services. SPIE SA is headquartered in Cergy-Pontoise, France.",Cergy-Pontoise,33134418181,http://www.spie.com,47200,Engineering & Construction
8TRA,Traton SE,Dachauer Str 641,Germany,51370000,https://logo.clearbit.com/traton.com,80995,Industrials,"Traton SE manufactures commercial vehicles worldwide. It operates through Industrial Business and Financial Services segments. The company offers light and heavy-duty commercial vehicles, such as trucks and bus chassis; vans; construction vehicles; city buses; and intercity and travel coaches, as well as spare parts and services. It also provides a cloud-based platform for freight transportation under the RIO brand name. The company offers its products and services under the MAN, Scania, and Volkswagen Caminhes e nibus brands. In addition, it provides a range of financial solutions, including dealer and customer finance, leasing, and insurance products. The company was founded in 2015 and is based in Munich, Germany. Traton SE operates as a subsidiary of Volkswagen Finance Luxemburg S.A.",Munich,49893609870,http://www.traton.com,82838,Farm & Heavy Construction Machinery
9TG,Gaztransport & Technigaz SA,"1, route de Versailles",France,21883975,https://logo.clearbit.com/gtt.fr,78470,Energy,"Gaztransport & Technigaz SA, an engineering company, provides cryogenic membrane containment systems for the maritime transportation and storage of liquefied natural gas (LNG). The company offers bunkering solutions, such as commercial vessel tanks, small and medium-capacity LNG carriers, bunker barges, and floating storage structures and tanks for supplying LNG to merchant vessels other than LNG carriers; and LNG fuel storage solutions and related systems for the merchant vessels that use LNG as a bunker fuel to replace the conventional fuel oils. It also provides membrane technology to LNG as fuel for the propulsion of vessels and the development of small-and medium-sized maritime and river carriers; and logistics chain services comprising onshore storage tanks redistribution terminals used to supply merchant vessels. In addition, the company licenses its technologies to shipyards. Further, it provides engineering, support in emergency situations, consultancy, training, production of technical studies, and maintenance support services. The company serves shipyards, ship-owners, terminal operators, and gas companies. Gaztransport & Technigaz SA was founded in 1965 and is headquartered in Saint-Rmy-ls-Chevreuse, France.",Saint-Rmy-ls-Chevreuse,33130234789,http://www.gtt.fr,0,Oil & Gas Equipment & Services
A,"Agilent Technologies, Inc.",5301 Stevens Creek Boulevard,United States,303749906,https://logo.clearbit.com/agilent.com,95051,Healthcare,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The Life Sciences and Applied Markets segment offers liquid and gas chromatography systems and components; liquid and gas chromatography mass spectrometry systems; inductively coupled plasma mass and optical emission spectrometry instruments; atomic absorption instruments; microwave plasma-atomic emission spectrometry instruments; raman spectroscopy; cell analysis plate based assays; flow cytometer; real-time cell analyzer; cell imaging systems; microplate readers; laboratory software, information management, and analytics; laboratory automation and robotic systems; dissolution testing; vacuum pumps; and measurement technologies. The Diagnostics and Genomics segment provides arrays for DNA mutation detection, genotyping, gene copy number determination, identification of gene rearrangements, DNA methylation profiling, and gene expression profiling, as well as sequencing target enrichment, genetic data management, and interpretation support software; and equipment to produce synthesized oligonucleotide. It also offers immunohistochemistry, in situ hybridization, and hematoxylin and eosin staining and special staining; instruments, consumables, and software for quality control analysis of nucleic acid samples; and reagents for use in turbidimetry and flow cytometry, as well as develops pharmacodiagnostics. The Agilent CrossLab segment provides GC and LC columns, sample preparation products, custom chemistries, and laboratory instrument supplies; and startup, operational, training, compliance support, software as a service, asset management, and consultation services. The company markets its products through direct sales, distributors, resellers, manufacturer's representatives, and electronic commerce. It has collaboration agreement with SGS AXYS. The company was incorporated in 1999 and is headquartered in Santa Clara, California.",Santa Clara,8002279770,http://www.agilent.com,16400,Diagnostics & Research
AAD,Amadeus FiRe AG,Hanauer Landstrae 160,Germany,5512203,https://logo.clearbit.com/amadeus-fire.de,60314,Industrials,"Amadeus FiRe AG provides specialized personnel services in Germany. The company operates in two segments, Temporary Staffing/Interim and Project Management/Permanent Placement; and Training. It offers personnel services for professionals and executives in the fields of accounting, office, banking, and IT. The company also provides training in preparation for state examinations for tax advisors and specialists, accountants, and financial controllers; professional training in the fields of tax, accounting, and financial control; and education and training in IAS/IFRS and US-GAAP. In addition, it runs recognized private certificate courses primarily designed to prepare participants for professional practice in the field of accounting. The company was founded in 1986 and is headquartered in Frankfurt am Main, Germany.",Frankfurt am Main,496996876180,http://www.amadeus-fire.de,1243,Staffing & Employment Services
AAL,Anglo American plc,20 Carlton House Terrace,United Kingdom,2204169936,https://logo.clearbit.com/angloamerican.com,SW1Y 5AN,Basic Materials,"Anglo American plc operates as a mining company worldwide. The company explores for rough and polished diamonds, copper, platinum group metals, metallurgical and thermal coal, and iron; and nickel, polyhalite, and manganese ores, as well as alloys. Anglo American plc was founded in 1917 and is headquartered in London, the United Kingdom.",London,442079688888,http://www.angloamerican.com,95000,Other Industrial Metals & Mining
